PLAYER,TEAM,Isolation,P&R Handler,P&R Roll,Transition,Post Up,Spot Up,HandOff,Cut,Season,Cluster
Ja Morant,MEM,0.09,0.503,0.0,0.159,0.0,0.07,0.049,0.028,2020,4
Nikola Jokic,DEN,0.063,0.032,0.169,0.046,0.246,0.113,0.0,0.085,2020,3
Eric Bledsoe,MIL,0.089,0.283,0.0,0.3,0.0,0.134,0.038,0.031,2020,1
Paul George,LAC,0.114,0.329,0.0,0.131,0.046,0.122,0.05,0.0,2020,4
Derrick Rose,DET,0.084,0.552,0.0,0.158,0.0,0.086,0.034,0.014,2020,4
Joel Embiid,PHI,0.083,0.0,0.107,0.071,0.368,0.118,0.01,0.057,2020,3
D'Angelo Russell,GSW,0.095,0.425,0.0,0.127,0.0,0.071,0.082,0.021,2020,4
Kemba Walker,BOS,0.067,0.485,0.0,0.128,0.0,0.102,0.063,0.01,2020,4
Anfernee Simons,POR,0.118,0.311,0.0,0.144,0.0,0.237,0.06,0.028,2020,1
Terry Rozier,CHA,0.074,0.269,0.01,0.194,0.0,0.188,0.083,0.013,2020,1
Buddy Hield,SAC,0.062,0.262,0.01,0.188,0.0,0.173,0.062,0.031,2020,1
Marcus.Morris,LAC,0.098,0.205,0.013,0.107,0.053,0.311,0.072,0.02,2020,1
Ish Smith,WAS,0.094,0.343,0.0,0.245,0.0,0.216,0.022,0.0,2020,4
Bam Adebayo,MIA,0.076,0.047,0.177,0.112,0.069,0.081,0.0,0.24,2020,2
Andrew Wiggins,GSW,0.091,0.364,0.0,0.093,0.04,0.137,0.094,0.056,2020,4
Kyrie Irving,BKN,0.125,0.479,0.0,0.154,0.0,0.047,0.074,0.025,2020,4
Jamal Murray,DEN,0.075,0.311,0.022,0.11,0.016,0.128,0.154,0.057,2020,4
Jaylen Brown,BOS,0.074,0.131,0.026,0.224,0.044,0.281,0.054,0.031,2020,1
Lou Williams,LAC,0.07,0.512,0.008,0.137,0.0,0.11,0.049,0.009,2020,4
Devonte' Graham,CHA,0.079,0.45,0.0,0.142,0.0,0.137,0.067,0.012,2020,4
Jeff Teague,ATL,0.174,0.412,0.0,0.172,0.0,0.115,0.039,0.0,2020,4
Jordan Clarkson,UTA,0.097,0.258,0.016,0.145,0.0,0.259,0.079,0.022,2020,1
Harrison Barnes,SAC,0.08,0.1,0.0,0.14,0.163,0.277,0.013,0.059,2020,5
